"type","system","term_ja","term_en","aliases","description_ja","description_en","url","source"
"system","ECCS","ECCS","ECCS","教育用計算機システム","東京大学の教育用計算機システム．ChromeOSデバイスやWindowsリモート環境，ECCSクラウドメール等を提供している．","The University of Tokyo's Educational Campuswide Computing System, providing ChromeOS devices, the Remote Windows Environment, ECCS Cloud Email, and related services.","/eccs/","src/pages/google/misc/ceu/index.md;src/pages/eccs/chromeos/index.mdx"
"system","ECCS","ECCS2021","ECCS2021","","2026年2月21日に運用を終了した旧世代のECCS．ECCS2026へ移行された．","The previous-generation ECCS, whose operation ended on February 21, 2026, and which was migrated to ECCS2026.","/eccs/eccs2021termination/","src/pages/eccs/eccs2021termination.md"
"system","ECCS","ECCS2026","ECCS2026","","2026年3月から稼働している現行のECCS．ChromeOSデバイス利用席，持込デバイス利用席，Windowsリモート環境などから構成される．","The current ECCS, in operation since March 2026, consisting of ChromeOS Device Stations, BYOD Stations, and the Remote Windows Environment.","/eccs/","src/pages/eccs/index.mdx"
"system","ECCS","ECCSクラウドメール","ECCS Cloud Email","","東京大学のクラウドメールサービス．UTokyo Account宛の招待メールなどは転送されてECCSクラウドメールに届く．","UTokyo's cloud email service; invitation emails addressed to a UTokyo Account are forwarded and delivered to ECCS Cloud Email.","/google/","src/pages/slack/invited.mdx"
"system","ECCS","ECCSストレージ管理システム","ECCS Storage Management System","ストレージ管理システム","ECCSクラウドメールのストレージ制限値や共有ドライブの作成・容量・代表者などを管理する東京大学のシステム．","UTokyo's system for managing ECCS Cloud Email storage limits and the creation, capacity, and representatives of shared drives.","/google/drive/storage/","src/pages/google/drive/storage/index.md"
"system","ECCS","ECCS端末","ECCS Terminals","","キャンパス内に設置されているパソコンです．利用には事前に利用権の申請が必要です．","Computers located on campus; usage rights must be applied for in advance.","/eccs/","src/pages/systems/index.md"
"system","ECCS","教育用計算機システム","Educational Campus-Wide Computing System","ECCS","東京大学の学生や教職員が教育や研究のために利用できる，コンピュータなどを含む設備・システム．数年に一度大きくリプレイスされる．","A set of resources, including computers, that students and staff of the University of Tokyo can use for research and education; it undergoes major upgrades every few years.","/eccs/","src/pages/eccs/index.mdx"
"system","general","E-journal & E-book Portal","E-journal & E-book Portal","","東京大学の契約している電子ジャーナル・電子ブックを探すためのシステムです．","A system for searching electronic journals and e-books contracted by the University of Tokyo.","https://vs2ga4mq9g.search.serialssolutions.com/","src/pages/systems/index.md"
"system","general","EZproxy","EZproxy","","東京大学が契約している学内者限定の電子ジャーナルに，キャンパス外からアクセスするためのシステムです．","A system for accessing UTokyo-contracted electronic journals, restricted to university members, from outside the campus.","https://www.lib.u-tokyo.ac.jp/ja/library/literacy/user-guide/campus/offcampus/ezproxy","src/pages/systems/index.md"
"system","general","Literacy","Literacy","","論文などの学術情報を探す際の「入り口」となるサイトです．","A site that serves as an ""entrance"" for searching academic information such as research papers.","https://www.lib.u-tokyo.ac.jp/ja/library/literacy","src/pages/systems/index.md"
"system","general","TREE","TREE","UTokyo REsource Explorer","さまざまなデータベース・電子ジャーナルを横断して学術情報を検索できる，東大構成員のためのシステムです．","A system for UTokyo members that allows searching academic information across various databases and electronic journals.","https://tokyo.summon.serialssolutions.com/","src/pages/systems/index.md"
"system","general","UTNET","UTNET","","東京大学の学内ネットワーク．ChromeOS端末管理代行サービスでは指定VLANをUTNETスイッチのポートに出す．","The University of Tokyo campus network; the ChromeOS management service outputs a designated VLAN to a UTNET switch port.","/google/misc/ceu/","src/pages/google/misc/ceu/index.md"
"system","general","UTokyo Account","UTokyo Account","","東京大学の構成員が各種情報システムを利用するための共通アカウント．MATLABやNII FileSender，UTAS等の利用に必要となる．","The common account for UTokyo members to access ICT systems, required for MATLAB, NII FileSender, UTAS, and more.","/utokyo_account/","src/pages/matlab/index.md"
"system","general","UTokyo Portal","UTokyo Portal","","部局のネットワーク担当者向けにUTokyo Wi-Fiの管理情報が掲載されているポータル．","The portal carrying UTokyo Wi-Fi management information for departmental network administrators.","/utokyo_wifi/","src/pages/utokyo_wifi/index.mdx;src/pages/systems/index.md"
"system","general","UTokyo VPN","UTokyo VPN","VPN","学内ネットワーク専用の事務システムなどに，キャンパス外からアクセスするためのシステムです．","A system for accessing administrative systems restricted to the university network from outside the campus.","/utokyo_vpn/","src/pages/systems/index.md"
"system","general","スーパーコンピューティングシステム","supercomputing systems","","非公開の計算結果等の置き場としても利用できる，東京大学の高速計算機システムです．","UTokyo's supercomputing systems, which can also be used to store non-public computational results.","https://www.cc.u-tokyo.ac.jp/supercomputer/","src/pages/systems/storage_limit.md"
"system","general","データ活用社会創成プラットフォームmdx","data platform mdx","mdx","研究用のデータ公開などに利用できるデータ活用基盤です．","A data utilization platform that can be used, for example, for publishing research data.","https://mdx.jp/","src/pages/systems/storage_limit.md"
"system","general","人事情報MyWeb","Personnel Information MyWeb","","教職員向けの人事情報システム．「パーソナルメニュー」の「本人属性変更：登録画面」の「学内メールアドレス」欄からUTokyo Wi-Fiの通知メール送信先を変更できる．","The personnel information system for faculty and staff; the UTokyo Wi-Fi notification email can be changed via the 'Campus Email Address' field in the personal menu.","/utokyo_wifi/#apply","src/components/ja/systems/utokyo_wifi/Apply.mdx;src/pages/systems/leave/index.md;src/pages/filesender/index.mdx"
"system","general","人事情報システム","Personnel Information System","","教職員等の在籍期間などを管理するシステム．在籍期間が終了しているとUTokyo Wi-Fiアカウントを再発行しても翌日に削除されてしまう．","The system managing enrollment periods; if the period has ended, a reissued UTokyo Wi-Fi account will be deleted the next day.","/utokyo_wifi/trouble_shooting/#account-validation","src/pages/utokyo_wifi/trouble_shooting.mdx"
"system","general","全学セキュリティファイアウォール","","","東京大学全学のファイアウォール．ChromeOS端末管理代行サービスではDHCPサーバやファイアウォール機能として利用する．","","/google/misc/ceu/","src/pages/google/misc/ceu/index.md"
"system","general","全学向け高速計算機・データ活用基盤","High-speed computing and data utilization infrastructure for the university","","東京大学が学内の教員や学生の研究や学習に提供している高速計算機やデータ活用基盤です．","High-speed computing and data utilization infrastructure provided by UTokyo for the research and learning of faculty and students.","/research_computing/","src/pages/systems/index.md"
"system","general","東京大学OPAC","The University of Tokyo Library OPAC","OPAC","図書館の蔵書検索や貸出・予約等の手続きを行うシステムです．","The system used for searching library collections and managing borrowing and reservations.","https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_search/","src/pages/systems/index.md"
"system","general","東京大学オンライン講義検索システム","University of Tokyo Online Lecture Search System","UTAS Lite2;UTIL Lite","オンライン授業URLを確認するためのシステムです．","A system used to verify URLs for online classes.","https://utelecon-directory.adm.u-tokyo.ac.jp/","src/pages/systems/index.md"
"system","GoodNotes 5","GoodNotes 5","GoodNotes 5","GoodNotes","読み込んだスライドや文書に手書きの注釈を付けられるメモ／描画アプリ．Zoomと組み合わせてリアルタイムの板書ができる．iPhone・iPad・Mac対応（Windows非対応）．","A note-taking/drawing app for annotating imported slides and documents by hand; combined with Zoom for real-time board writing. Available for iPhone, iPad, Mac (not Windows).","/articles/goodnotes-writing/","src/pages/articles/goodnotes-writing/index.mdx"
